Id,Designator,Footprint,Quantity,Designation,Supplier,ref,Mouser ref,Mouser link
1,J3,CON_559099872,1,559099872,Molex,538-55909-9872,55909-9872,https://www.mouser.fr/ProductDetail/Molex/55909-9872?qs=iFVq0McHPUjbpIybTyIq6g%3D%3D
2,J1,SHF-105-01-X-D-SM,1,SHF-105-01-F-D-SM,Samtec,SHF-105-01-F-D-SM,200-SHF10501FDSM,https://www.mouser.fr/ProductDetail/Samtec/SHF-105-01-F-D-SM?qs=%252BZP6%2F%252BtExtCW73QuOSbkmg%3D%3D
